PP,R1,R2,R3,CLASS
833.33333333333,836.66666666667,843.33333333333,846.66666666667,BUY
836.66666666667,838.33333333333,841.66666666667,843.33333333333,HOLD
838.33333333333,841.66666666667,843.33333333333,846.66666666667,SELL
836.66666666667,838.33333333333,841.66666666667,843.33333333333,BUY
836.66666666667,838.33333333333,841.66666666667,843.33333333333,HOLD
836.66666666667,838.33333333333,841.66666666667,843.33333333333,BUY
836.66666666667,838.33333333333,841.66666666667,843.33333333333,SELL
836.66666666667,838.33333333333,841.66666666667,843.33333333333,SELL
840,840,840,840,SELL
840,840,840,840,SELL
843.33333333333,846.66666666667,848.33333333333,851.66666666667,HOLD
840,840,840,840,HOLD
840,840,840,840,SELL
840,840,840,840,SELL
841.66666666667,843.33333333333,846.66666666667,848.33333333333,BUY
841.66666666667,843.33333333333,846.66666666667,848.33333333333,BUY
841.66666666667,843.33333333333,846.66666666667,848.33333333333,BUY
841.66666666667,843.33333333333,846.66666666667,848.33333333333,HOLD
841.66666666667,843.33333333333,846.66666666667,848.33333333333,SELL
840,840,840,840,BUY
840,840,840,840,HOLD
840,840,840,840,BUY
840,840,840,840,HOLD
840,840,840,840,BUY
840,840,840,840,SELL
841.66666666667,843.33333333333,846.66666666667,848.33333333333,BUY
848.33333333333,851.66666666667,853.33333333333,856.66666666667,BUY
845,845,845,845,SELL
845,850,855,860,HOLD
841.66666666667,843.33333333333,846.66666666667,848.33333333333,HOLD
841.66666666667,843.33333333333,846.66666666667,848.33333333333,SELL
840,840,840,840,BUY
843.33333333333,846.66666666667,848.33333333333,851.66666666667,HOLD
840,840,840,840,HOLD
840,840,840,840,HOLD
843.33333333333,846.66666666667,848.33333333333,851.66666666667,SELL
841.66666666667,843.33333333333,846.66666666667,848.33333333333,SELL
843.33333333333,846.66666666667,848.33333333333,851.66666666667,SELL
843.33333333333,846.66666666667,848.33333333333,851.66666666667,SELL
841.66666666667,843.33333333333,846.66666666667,848.33333333333,SELL
845,845,845,845,HOLD
843.33333333333,846.66666666667,848.33333333333,851.66666666667,BUY
843.33333333333,846.66666666667,848.33333333333,851.66666666667,HOLD
841.66666666667,843.33333333333,846.66666666667,848.33333333333,SELL
841.66666666667,843.33333333333,846.66666666667,848.33333333333,BUY
841.66666666667,843.33333333333,846.66666666667,848.33333333333,HOLD
841.66666666667,843.33333333333,846.66666666667,848.33333333333,BUY
843.33333333333,846.66666666667,848.33333333333,851.66666666667,HOLD
845,845,845,845,BUY
841.66666666667,843.33333333333,846.66666666667,848.33333333333,HOLD
841.66666666667,843.33333333333,846.66666666667,848.33333333333,HOLD
841.66666666667,843.33333333333,846.66666666667,848.33333333333,SELL
845,845,845,845,BUY
845,845,845,845,BUY
850,850,850,850,BUY
848.33333333333,851.66666666667,853.33333333333,856.66666666667,BUY
846.66666666667,848.33333333333,851.66666666667,853.33333333333,BUY
848.33333333333,851.66666666667,853.33333333333,856.66666666667,HOLD
850,850,850,850,HOLD
850,850,850,850,BUY
850,850,850,850,SELL
845,850,855,860,SELL
843.33333333333,851.66666666667,858.33333333333,866.66666666667,HOLD
866.66666666667,873.33333333333,876.66666666667,883.33333333333,BUY
860,860,860,860,BUY
860,860,860,860,BUY
860,860,860,860,BUY
858.33333333333,861.66666666667,863.33333333333,866.66666666667,HOLD
860,860,860,860,HOLD
861.66666666667,863.33333333333,866.66666666667,868.33333333333,BUY
860,860,860,860,BUY
860,860,860,860,BUY
860,860,860,860,HOLD
860,860,860,860,BUY
860,860,860,860,BUY
860,860,860,860,SELL
858.33333333333,861.66666666667,863.33333333333,866.66666666667,HOLD
863.33333333333,866.66666666667,868.33333333333,871.66666666667,HOLD
860,860,860,860,BUY
860,860,860,860,HOLD
860,860,860,860,BUY
860,860,860,860,SELL
863.33333333333,866.66666666667,868.33333333333,871.66666666667,HOLD
863.33333333333,866.66666666667,868.33333333333,871.66666666667,HOLD
863.33333333333,866.66666666667,868.33333333333,871.66666666667,SELL
861.66666666667,863.33333333333,866.66666666667,868.33333333333,SELL
860,860,860,860,HOLD
861.66666666667,863.33333333333,866.66666666667,868.33333333333,BUY
861.66666666667,868.33333333333,871.66666666667,878.33333333333,BUY
860,860,860,860,BUY
861.66666666667,863.33333333333,866.66666666667,868.33333333333,HOLD
861.66666666667,863.33333333333,866.66666666667,868.33333333333,HOLD
863.33333333333,866.66666666667,868.33333333333,871.66666666667,HOLD
861.66666666667,863.33333333333,866.66666666667,868.33333333333,SELL
863.33333333333,866.66666666667,868.33333333333,871.66666666667,HOLD
863.33333333333,866.66666666667,868.33333333333,871.66666666667,BUY
861.66666666667,863.33333333333,866.66666666667,868.33333333333,HOLD
860,860,860,860,BUY
