@relation stock1

@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute Volume numeric
@attribute PP numeric
@attribute R1 numeric
@attribute R2 numeric
@attribute R3 numeric
@attribute S1 numeric
@attribute S2 numeric
@attribute S3 numeric
@attribute CLASS {SELL,HOLD,BUY}

@data

810,800,800,1675000,803.333333,806.666667,813.333333,816.666667,796.666667,793.333333,786.666667,SELL
810,805,805,135700,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,BUY
815,805,805,530300,808.333333,811.666667,818.333333,821.666667,801.666667,798.333333,791.666667,HOLD
815,810,810,375500,811.666667,813.333333,816.666667,818.333333,808.333333,806.666667,803.333333,HOLD
810,805,810,132000,808.333333,811.666667,813.333333,816.666667,806.666667,803.333333,801.666667,HOLD
810,805,810,68400,808.333333,811.666667,813.333333,816.666667,806.666667,803.333333,801.666667,HOLD
810,805,805,5720300,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,810,810,40100,810,810,810,810,810,810,810,HOLD
810,805,805,30100,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,805,810,40400,808.333333,811.666667,813.333333,816.666667,806.666667,803.333333,801.666667,HOLD
810,805,810,49800,808.333333,811.666667,813.333333,816.666667,806.666667,803.333333,801.666667,HOLD
810,805,805,21100,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,805,805,17300,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
805,805,805,34100,805,805,805,805,805,805,805,HOLD
810,805,805,15900,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,805,810,79300,808.333333,811.666667,813.333333,816.666667,806.666667,803.333333,801.666667,HOLD
810,805,805,177900,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,805,805,16500,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,810,810,600,810,810,810,810,810,810,810,HOLD
810,805,805,2800,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,805,810,57700,808.333333,811.666667,813.333333,816.666667,806.666667,803.333333,801.666667,HOLD
810,810,810,50000,810,810,810,810,810,810,810,HOLD
805,805,805,18000,805,805,805,805,805,805,805,HOLD
810,810,810,1000,810,810,810,810,810,810,810,HOLD
810,805,810,41100,808.333333,811.666667,813.333333,816.666667,806.666667,803.333333,801.666667,HOLD
805,805,805,100,805,805,805,805,805,805,805,HOLD
810,805,810,441300,808.333333,811.666667,813.333333,816.666667,806.666667,803.333333,801.666667,HOLD
805,805,805,14500,805,805,805,805,805,805,805,HOLD
810,805,805,324400,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,805,805,25500,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,805,805,8200,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,805,805,20200,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
805,805,805,8900,805,805,805,805,805,805,805,HOLD
810,805,805,26100,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
805,805,805,4135900,805,805,805,805,805,805,805,HOLD
810,805,810,0,808.333333,811.666667,813.333333,816.666667,806.666667,803.333333,801.666667,HOLD
810,805,805,300,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,805,805,33900,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,805,805,16000,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
805,805,805,35800,805,805,805,805,805,805,805,HOLD
810,805,805,19800,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,805,805,44000,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
805,805,805,9300,805,805,805,805,805,805,805,HOLD
810,805,805,23600,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
805,805,805,8600,805,805,805,805,805,805,805,HOLD
810,805,805,19900,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,805,810,3900,808.333333,811.666667,813.333333,816.666667,806.666667,803.333333,801.666667,HOLD
805,805,805,15600,805,805,805,805,805,805,805,HOLD
810,805,805,108500,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,805,805,23900,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,805,805,813900,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,810,810,240700,810,810,810,810,810,810,810,HOLD
815,810,810,25200,811.666667,813.333333,816.666667,818.333333,808.333333,806.666667,803.333333,HOLD
815,810,815,24600,813.333333,816.666667,818.333333,821.666667,811.666667,808.333333,806.666667,HOLD
815,810,810,14800,811.666667,813.333333,816.666667,818.333333,808.333333,806.666667,803.333333,HOLD
815,810,810,16800,811.666667,813.333333,816.666667,818.333333,808.333333,806.666667,803.333333,HOLD
815,810,815,62700,813.333333,816.666667,818.333333,821.666667,811.666667,808.333333,806.666667,HOLD
810,805,810,365200,808.333333,811.666667,813.333333,816.666667,806.666667,803.333333,801.666667,HOLD
810,810,810,37800,810,810,810,810,810,810,810,HOLD
810,805,810,50500,808.333333,811.666667,813.333333,816.666667,806.666667,803.333333,801.666667,HOLD
810,805,805,5200,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,805,810,131100,808.333333,811.666667,813.333333,816.666667,806.666667,803.333333,801.666667,HOLD
810,800,805,1086500,805,810,815,820,800,795,790,HOLD
815,810,810,1536400,811.666667,813.333333,816.666667,818.333333,808.333333,806.666667,803.333333,HOLD
815,810,810,239600,811.666667,813.333333,816.666667,818.333333,808.333333,806.666667,803.333333,HOLD
810,810,810,36400,810,810,810,810,810,810,810,HOLD
815,810,810,23800,811.666667,813.333333,816.666667,818.333333,808.333333,806.666667,803.333333,HOLD
815,810,810,42600,811.666667,813.333333,816.666667,818.333333,808.333333,806.666667,803.333333,HOLD
810,810,810,163400,810,810,810,810,810,810,810,HOLD
815,810,810,42000,811.666667,813.333333,816.666667,818.333333,808.333333,806.666667,803.333333,HOLD
815,810,815,75200,813.333333,816.666667,818.333333,821.666667,811.666667,808.333333,806.666667,HOLD
810,805,810,603400,808.333333,811.666667,813.333333,816.666667,806.666667,803.333333,801.666667,HOLD
815,805,810,620600,810,815,820,825,805,800,795,HOLD
810,805,810,665000,808.333333,811.666667,813.333333,816.666667,806.666667,803.333333,801.666667,HOLD
810,805,805,193200,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,805,805,618800,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
810,805,805,34200,806.666667,808.333333,811.666667,813.333333,803.333333,801.666667,798.333333,HOLD
